poll_time,window_end_epoch,secs_left,side,best_ask_price,best_ask_size,best_bid_price,best_bid_size,n_asks,n_bids,is_target_scenario
1788633575.0338914,1788633600,25.0,Down,0.49,39.93,0.47,25,51,47,False
1788633578.348357,1788633600,21.7,Up,0.53,25,0.51,39.93,47,51,False
1788633578.348357,1788633600,21.7,Down,0.49,39.93,0.47,25,51,47,False
1788633581.6890612,1788633600,18.3,Up,0.53,25,0.51,27.7,47,51,False
1788633581.6890612,1788633600,18.3,Down,0.49,27.7,0.47,25,51,47,False
1788633585.0354786,1788633600,15.0,Up,0.53,25,0.51,27.7,47,51,False
1788633585.0354786,1788633600,15.0,Down,0.49,27.7,0.47,25,51,47,False
1788633588.3469741,1788633600,11.7,Up,0.53,25,0.5,151.25,47,50,False
1788633588.3469741,1788633600,11.7,Down,0.5,151.25,0.47,25,50,47,False
1788633591.5769503,1788633600,8.4,Up,0.5,10,0.49,65,48,49,False
1788633591.5769503,1788633600,8.4,Down,0.51,171,0.5,10,49,48,False
1788633594.0194228,1788633600,6.0,Up,0.5,4,0.49,171,48,49,False
1788633594.0194228,1788633600,6.0,Down,0.51,171,0.5,4,49,48,False
1788633595.7757711,1788633600,4.2,Up,0.5,14,0.49,163,48,49,False
1788633595.7757711,1788633600,4.2,Down,0.51,163,0.5,14,49,48,False
1788633597.096446,1788633600,2.9,Up,0.5,14,0.49,160.96,48,49,False
1788633597.096446,1788633600,2.9,Down,0.51,160.96,0.5,10,49,48,False
1788633598.2888687,1788633600,1.7,Up,0.5,10,0.49,160.96,48,49,False
1788633598.2888687,1788633600,1.7,Down,0.51,160.96,0.5,10,49,48,False
1788633600.7618685,1788633900,299.2,Up,0.51,259.24,0.5,615.5,48,50,False
1788633600.7618685,1788633900,299.2,Down,0.5,615.5,0.49,259.24,50,48,False
1788633604.100105,1788633900,295.9,Up,0.51,259.24,0.5,615.5,48,50,False
1788633604.100105,1788633900,295.9,Down,0.5,605.5,0.49,259.24,50,48,False
1788633607.4092536,1788633900,292.6,Up,0.51,264.24,0.5,615.5,48,50,False
1788633607.4092536,1788633900,292.6,Down,0.5,615.5,0.49,264.24,50,48,False
1788633610.741264,1788633900,289.3,Up,0.51,283.24,0.5,615.5,49,50,False
1788633610.741264,1788633900,289.3,Down,0.5,615.5,0.49,283.24,50,49,False
1788633614.076579,1788633900,285.9,Up,0.51,283.24,0.5,615.5,49,50,False
1788633614.076579,1788633900,285.9,Down,0.5,615.5,0.49,283.24,50,49,False
1788633617.4122376,1788633900,282.6,Up,0.51,288.24,0.5,620.5,49,50,False
1788633617.4122376,1788633900,282.6,Down,0.5,647.5,0.49,288.24,50,49,False
1788633620.7373161,1788633900,279.3,Up,0.51,288.24,0.5,647.5,49,50,False
1788633620.7373161,1788633900,279.3,Down,0.5,647.5,0.49,288.24,50,49,False
1788633623.987007,1788633900,276.0,Up,0.51,288.24,0.5,642.5,49,50,False
1788633623.987007,1788633900,276.0,Down,0.5,642.5,0.49,288.24,50,49,False
1788633627.2296445,1788633900,272.8,Up,0.51,288.24,0.5,647.5,49,50,False
1788633627.2296445,1788633900,272.8,Down,0.5,647.5,0.49,288.24,50,49,False
1788633630.5680459,1788633900,269.4,Up,0.51,288.24,0.5,647.5,49,50,False
1788633630.5680459,1788633900,269.4,Down,0.5,647.5,0.49,288.24,50,49,False
1788633633.9145973,1788633900,266.1,Up,0.51,288.24,0.5,647.5,49,50,False
1788633633.9145973,1788633900,266.1,Down,0.5,647.5,0.49,288.24,50,49,False
1788633637.24783,1788633900,262.8,Up,0.51,288.24,0.5,647.5,49,50,False
1788633637.24783,1788633900,262.8,Down,0.5,647.5,0.49,288.24,50,49,False
1788633640.5837765,1788633900,259.4,Up,0.51,288.24,0.5,647.5,49,50,False
1788633640.5837765,1788633900,259.4,Down,0.5,647.5,0.49,288.24,50,49,False
1788633643.8448842,1788633900,256.2,Up,0.51,288.24,0.5,647.5,49,50,False
1788633643.8448842,1788633900,256.2,Down,0.5,647.5,0.49,288.24,50,49,False
1788633647.1858156,1788633900,252.8,Up,0.51,203.07,0.5,647.5,49,50,False
1788633647.1858156,1788633900,252.8,Down,0.5,647.5,0.49,203.07,50,49,False
